Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Return%,N5D_Return,N5D_Return%,SMA3,SMA5,SMA10,SMA15,SMA20,SMA30,SMA50,EMA3,EMA5,EMA10,EMA15,EMA20,EMA30,EMA50,PP,S1C,S2C,S3C,R1C,R2C,R3C,S1F,S2F,S3F,R1F,R2F,R3F,SMA_Signal,MACD_Signal,RSI,RSI_Signal,Slow_K,Slow_D,Stoch_Osci,Fast_K,Fast_D,Stoch_RSI
2018-02-13,2646.27001953125,2668.840087890625,2637.080078125,2662.93994140625,3472870000,0,0,,,38.39013671875,0.014416448573179938,,,,,,,,,,,,,,,2656.2867024739585,2643.733317057292,2624.5266927083335,2611.973307291667,2675.493326822917,2688.0467122395835,2707.253336588542,2644.15437874349,2636.659016438802,2624.5266927083335,2668.419026204427,2675.914388509115,2688.0467122395835,0.0,0.0,,0,,,0,,,0
2018-02-14,2651.2099609375,2702.10009765625,2648.8701171875,2698.6298828125,4003740000,0,0,35.68994140625,0.013225207959623609,5.330078125,0.001975105278032798,,,,,,,,,,,,,,,2683.2000325520835,2664.299967447917,2629.9700520833335,2611.069986979167,2717.529947916667,2736.4300130208335,2770.759928385417,2662.8661800130208,2650.303904622396,2629.9700520833335,2703.533885091146,2716.0961604817708,2736.4300130208335,0.0,0.0,,0,,,0,,,0
2018-02-15,2713.4599609375,2731.510009765625,2689.820068359375,2731.199951171875,3684910000,0,0,32.570068359375,0.011925186343607019,16.10009765625,0.005894880618074827,2697.5899251302085,,,,,,,2697.5899251302085,,,,,,,2717.510009765625,2703.510009765625,2675.820068359375,2661.820068359375,2745.199951171875,2759.199951171875,2786.889892578125,2701.5844521484373,2691.7456259765627,2675.820068359375,2733.4355673828127,2743.2743935546873,2759.199951171875,0.0,0.0,,0,,,0,,,0
2018-02-16,2727.139892578125,2754.419921875,2725.110107421875,2732.219970703125,3637460000,0,0,1.02001953125,0.0003733299449485769,47.380126953125,0.01734125636338568,2720.6832682291665,,,,,,,2714.904947916667,,,,,,,2737.25,2720.080078125,2707.940185546875,2690.770263671875,2749.389892578125,2766.559814453125,2778.69970703125,2726.0536508789064,2719.1365346679686,2707.940185546875,2748.4463491210936,2755.3634653320314,2766.559814453125,0.0,0.0,,0,,,0,,,0
2018-02-20,2722.989990234375,2737.60009765625,2706.760009765625,2716.260009765625,3627610000,0,0,-15.9599609375,-0.005875711780212499,28.02001953125,0.010315661766734818,2726.5599772135415,2708.249951171875,,,,,,2715.582478841146,2708.249951171875,,,,,,2720.2067057291665,2702.813313802083,2689.3666178385415,2671.973225911458,2733.653401692708,2751.0467936197915,2764.493489583333,2708.425792154948,2701.14753141276,2689.3666178385415,2731.987619303385,2739.265880045573,2751.0467936197915,0.0,0.0,,0,,,0,,,0
2018-02-21,2720.530029296875,2747.75,2701.2900390625,2701.330078125,3779400000,0,0,-14.929931640625,-0.005526881650460096,12.5,0.004627350097355108,2716.6033528645835,2715.927978515625,,,,,,2708.456278483073,2705.943326822917,,,,,,2716.7900390625,2685.830078125,2670.330078125,2639.3701171875,2732.2900390625,2763.25,2778.75,2699.042333984375,2688.077783203125,2670.330078125,2734.537744140625,2745.502294921875,2763.25,0.0,0.0,,0,,,0,,,0
2018-02-22,2710.419921875,2731.260009765625,2697.77001953125,2703.9599609375,3701270000,0,0,2.6298828125,0.0009726041992086982,-26.2900390625,-0.009722791551020188,2707.183349609375,2716.993994140625,,,,,,2706.2081197102866,2705.282204861111,,,,,,2710.9966634114585,2690.733317057292,2677.5066731770835,2657.243326822917,2724.223307291667,2744.4866536458335,2757.713297526042,2698.2034871419273,2690.2998494466146,2677.5066731770835,2723.7898396809896,2731.6934773763023,2744.4866536458335,0.0,0.0,,0,,,0,,,0
2018-02-23,2715.800048828125,2747.760009765625,2713.739990234375,2747.300048828125,3189190000,0,0,43.340087890625,0.01577552037285186,-56.050048828125,-0.020401866498722422,2717.530029296875,2720.214013671875,,,,,,2726.754084269206,2719.2881528501157,,,,,,2736.2666829427085,2724.773356119792,2702.2466634114585,2690.753336588542,2758.793375651042,2770.2867024739585,2792.813395182292,2723.271035481771,2715.242310872396,2702.2466634114585,2749.262330403646,2757.291055013021,2770.2867024739585,0.0,0.0,,0,,,0,,,0
2018-02-26,2757.3701171875,2780.639892578125,2753.780029296875,2779.60009765625,3424650000,0,0,32.300048828125,0.011620394191006217,-58.66015625,-0.02110381140778562,2743.6200358072915,2729.6900390625,,,,,,2753.177090962728,2739.3921344521605,,,,,,2771.3400065104165,2762.040120442708,2744.4801432291665,2735.180257161458,2788.899983723958,2798.1998697916665,2815.759847005208,2761.079538736979,2754.740611002604,2744.4801432291665,2781.600474283854,2787.939402018229,2798.1998697916665,0.0,0.0,,0,69.35516535754728,56.23961566831417,0,,,0
2018-02-27,2780.449951171875,2789.14990234375,2744.219970703125,2744.280029296875,3745080000,0,0,-35.320068359375,-0.012870431582167845,-16.159912109375,-0.005888579859510696,2757.06005859375,2735.29404296875,2721.7719970703124,,,,,2748.7285601298017,2741.021432733732,2721.7719970703124,,,,,2759.2166341145835,2729.283365885417,2714.2867024739585,2684.353434244792,2774.213297526042,2804.1465657552085,2819.143229166667,2742.0534002278646,2731.4499363606774,2714.2867024739585,2776.3798680013024,2786.9833318684896,2804.1465657552085,0.0,0.0,,0,79.02483183739876,67.129093109633,0,,,0
2018-02-28,2753.780029296875,2761.52001953125,2713.5400390625,2713.830078125,4230660000,0,0,-30.449951171875,-0.011220286567430572,12.969970703125,0.004779212526115867,2745.9034016927085,2737.79404296875,2726.8610107421873,,,,,2731.279319127401,2731.9576478641548,2720.328011807528,,,,,2729.6300455729165,2697.740071614583,2681.6500651041665,2649.760091145833,2745.720052083333,2777.6100260416665,2793.700032552083,2711.301693033854,2699.978417643229,2681.6500651041665,2747.958398111979,2759.281673502604,2777.6100260416665,0.0,0.0,,0,55.739247968787915,68.03974838791133,0,,,0
2018-03-01,2715.219970703125,2730.889892578125,2659.64990234375,2677.669921875,4503970000,0,0,-36.16015625,-0.01350433671999399,61.300048828125,0.02289305650683058,2711.9266764322915,2732.53603515625,2724.7650146484375,,,,,2704.4746205012007,2713.8617392011033,2712.5719954561596,,,,,2689.4032389322915,2647.916585286458,2618.1632486979165,2576.676595052083,2719.156575520833,2760.6432291666665,2790.396565755208,2662.18956266276,2645.376924967448,2618.1632486979165,2716.616915201823,2733.429552897135,2760.6432291666665,0.0,0.0,,0,27.462516343952604,54.07553205004644,0,,,0
2018-03-02,2658.889892578125,2696.25,2647.320068359375,2691.25,3882450000,0,0,13.580078125,0.005046011379470507,95.320068359375,0.0354185112343242,2694.25,2721.326025390625,2720.77001953125,,,,,2697.8623102506003,2706.3244928007357,2708.695269009585,,,,,2678.2733561197915,2660.296712239583,2629.3434244791665,2611.366780598958,2709.226643880208,2727.2032877604165,2758.156575520833,2659.582122233073,2648.034658365885,2629.3434244791665,2696.96459000651,2708.512053873698,2727.2032877604165,0.0,0.0,,0,20.821270107331575,34.67434480669071,0,,,0
2018-03-05,2681.06005859375,2728.090087890625,2675.75,2720.93994140625,3710810000,0,0,29.68994140625,0.010911648932208879,62.080078125,0.022815673797237677,2696.6199544270835,2709.593994140625,2719.6420166015623,,,,,2709.4011258284254,2711.196309002574,2710.921573081706,,,,,2708.260009765625,2688.429931640625,2655.919921875,2636.08984375,2740.77001953125,2760.60009765625,2793.110107421875,2688.266096191406,2675.913835449219,2655.919921875,2728.253923339844,2740.606184082031,2760.60009765625,0.0,0.0,,0,32.26531535746841,26.84970060291754,0,,,0
2018-03-06,2730.179931640625,2732.080078125,2711.260009765625,2728.1201171875,3370690000,0,0,7.18017578125,0.0026319133589514584,37.18994140625,0.013632076231522464,2713.4366861979165,2706.36201171875,2720.82802734375,2716.6353352864585,,,,2718.7606215079627,2716.8375783975494,2714.048581100941,2716.6353352864585,,,,2723.820068359375,2715.56005859375,2703.0,2694.739990234375,2736.380126953125,2744.64013671875,2757.2001953125,2715.866802246094,2710.953266113281,2703.0,2731.773334472656,2736.686870605469,2744.64013671875,0.0,0.0,59.85129590270398,0,51.21133696075577,34.765974141851935,0,,,0
2018-03-07,2710.179931640625,2730.60009765625,2701.739990234375,2726.800048828125,3393270000,0,0,-1.320068359375,-0.00048410896865808524,22.679931640625,0.008317416471505482,2725.2867024739585,2708.956005859375,2723.3750244140624,2720.89267578125,,,,2722.780335168044,2720.158401874408,2716.367029778611,2717.905924479167,,,,2719.71337890625,2708.82666015625,2690.853271484375,2679.966552734375,2737.686767578125,2748.573486328125,2766.546875,2708.6888178710938,2701.8778325195312,2690.853271484375,2730.7379399414062,2737.5489252929688,2748.573486328125,1.0,0.0,59.59520141575329,0,72.14364486664645,51.87343239495689,0,,,0
2018-03-08,2732.75,2740.449951171875,2722.64990234375,2738.969970703125,3212320000,0,0,12.169921875,0.004443247646076179,8.360107421875,0.003052281518708606,2731.2967122395835,2721.216015625,2726.876025390625,2723.5820149739584,,,,2730.8751529355845,2726.4289248173136,2720.47665540125,2720.5389302571616,,,,2734.0232747395835,2727.596598307292,2716.2232259114585,2709.796549479167,2745.396647135417,2751.8233235677085,2763.196695963542,2727.2236560872398,2723.022844563802,2716.2232259114585,2740.822893391927,2745.0237049153648,2751.8233235677085,0.0,0.0,61.24172211685076,0,87.6448643479538,70.33328205845203,-1,,,0
2018-03-09,2752.909912109375,2786.570068359375,2751.5400390625,2786.570068359375,3364100000,0,0,47.60009765625,0.01708196689425976,-34.56005859375,-0.01240236482339654,2750.780029296875,2740.280029296875,2730.80302734375,2727.2733561197915,,,,2758.72261064748,2746.4759726646676,2732.4936395754544,2728.7928225199385,,,,2774.8933919270835,2763.216715494792,2739.8633626302085,2728.186686197917,2798.246744791667,2809.9234212239585,2833.276774088542,2761.5119207356774,2753.2448338216145,2739.8633626302085,2788.2748631184895,2796.5419500325524,2809.9234212239585,0.0,0.0,66.91986435720395,0,97.39381841229836,85.72744254229956,-2,,,0
2018-03-12,2790.5400390625,2796.97998046875,2779.260009765625,2783.02001953125,3185020000,0,0,-3.550048828125,-0.001275610237515626,-70.10009765625,-0.025188499243371274,2769.52001953125,2752.696044921875,2731.14501953125,2730.6600260416667,,,,2770.871315089365,2758.657321620195,2741.680254112872,2735.5712221463523,,,,2786.4200032552085,2775.860026041667,2768.7000325520835,2758.140055338542,2793.579996744792,2804.1399739583335,2811.299967447917,2779.650974446615,2775.469061360677,2768.7000325520835,2793.189032063802,2797.37094514974,2804.1399739583335,0.0,0.0,66.1415990843681,0,94.58439173942908,93.20769149989376,-2,,,0
2018-03-13,2792.31005859375,2801.89990234375,2758.679931640625,2765.31005859375,3301650000,0,0,-17.7099609375,-0.006404331001676568,-48.3701171875,-0.017491751797300364,2778.300048828125,2760.134033203125,2733.2480224609376,2733.930029296875,2727.510009765625,,,2768.0906868415577,2760.87490061138,2745.976582200304,2739.288576702277,2727.510009765625,,,2775.296630859375,2748.693359375,2732.07666015625,2705.473388671875,2791.913330078125,2818.5166015625,2835.13330078125,2758.7866020507813,2748.5866889648437,2732.07666015625,2791.8066596679687,2802.0065727539063,2818.5166015625,0.0,0.0,62.25209247161908,0,82.93696902973758,91.63839306048835,-2,,,0
2018-03-14,2774.06005859375,2777.110107421875,2744.3798828125,2749.47998046875,3391360000,0,0,-15.830078125,-0.005757480773619301,-37.550048828125,-0.013657145749329374,2765.9366861979165,2764.67001953125,2736.8130126953124,2737.1400227864583,2731.83701171875,,,2758.785333655154,2757.07659389717,2746.6135637036577,2740.562502173086,2729.6023879278273,,,2756.989990234375,2736.869873046875,2724.259765625,2704.1396484375,2769.60009765625,2789.72021484375,2802.330322265625,2744.487044433594,2736.762711425781,2724.259765625,2769.492936035156,2777.217269042969,2789.72021484375,0.0,0.0,58.91698032708695,0,60.88863175318658,79.46999750745111,0,0.0,41.88264951824015,1
2018-03-15,2754.27001953125,2763.030029296875,2741.469970703125,2747.330078125,3500330000,0,0,-2.14990234375,-0.0007825424257784369,-103.64013671875,-0.037723947895435414,2754.0400390625,2766.342041015625,2743.7790283203126,2740.0313639322917,2734.272021484375,,,2753.057705890077,2753.8277553064468,2746.743839052993,2741.4084491670756,2731.290739375177,,,2750.6100260416665,2738.190022786458,2729.0499674479165,2716.629964192708,2759.750081380208,2772.1700846354165,2781.310139973958,2742.374083658854,2737.285909830729,2729.0499674479165,2758.845968424479,2763.934142252604,2772.1700846354165,0.0,0.0,58.45891481434556,0,35.673640535178045,59.83308043936743,0,0.0,12.091073118783859,2
2018-03-16,2750.570068359375,2761.85009765625,2749.969970703125,2752.010009765625,5372340000,0,0,4.679931640625,0.0017005503700996954,-163.75,-0.05950196380788084,2749.606689453125,2759.430029296875,2749.855029296875,2740.345361328125,2735.3125244140624,,,2752.533857827851,2753.221840126173,2747.701324637108,2742.733644241894,2733.2640032218865,,,2754.6100260416665,2747.369954427083,2742.7298990885415,2735.489827473958,2759.250081380208,2766.4901529947915,2771.130208333333,2750.0718175455727,2747.2681075846353,2742.7298990885415,2759.1482345377603,2761.9519444986977,2766.4901529947915,0.0,0.0,59.20249226089804,0,20.33136653309207,38.964546273818925,0,9.678615187323032,3.226205062441011,2
2018-03-19,2741.3798828125,2741.3798828125,2694.590087890625,2712.919921875,3302130000,0,0,-39.090087890625,-0.014408861675359878,-54.369873046875,-0.020041090269003574,2737.4200032552085,2745.410009765625,2749.05302734375,2735.9000162760417,2734.347521972656,,,2732.7268898514258,2739.787867375782,2741.377433225816,2739.0069289460325,2731.32647166504,,,2716.296630859375,2691.21337890625,2669.5068359375,2644.423583984375,2738.003173828125,2763.08642578125,2784.79296875,2698.4229291992187,2687.3805375976563,2669.5068359375,2734.1703325195313,2745.2127241210937,2763.08642578125,0.0,0.0,50.992113297608256,0,14.740113115411283,23.581706727893827,1,0.0,3.226205062441011,2
2018-03-20,2715.050048828125,2724.219970703125,2710.050048828125,2716.93994140625,3261030000,0,0,4.02001953125,0.0014796129535234754,-104.31982421875,-0.03839607296021256,2727.2899576822915,2735.735986328125,2747.935009765625,2734.07734375,2734.3815185546873,,,2724.833415628838,2732.1718920526046,2736.9342528949855,2736.2485555035596,2729.9563259261076,,,2717.0699869791665,2709.920003255208,2702.9000651041665,2695.750081380208,2724.089925130208,2731.2399088541665,2738.259847005208,2711.6570768229167,2708.3129752604164,2702.9000651041665,2722.4828971354164,2725.8269986979167,2731.2399088541665,-1.0,0.0,51.733450283332516,0,20.535713199867004,18.535730949456813,1,9.029266359554452,6.235960515625828,2
2018-03-21,2714.989990234375,2739.139892578125,2709.7900390625,2711.929931640625,3415510000,0,0,-5.010009765625,-0.0018473964637405345,-106.929931640625,-0.0394294595863456,2713.929931640625,2728.2259765625,2746.447998046875,2733.9506673177084,2734.911511230469,,,2718.3816736347317,2725.424571915278,2732.38801266692,2733.2087275206927,2728.2395264703473,,,2720.28662109375,2701.433349609375,2690.936767578125,2672.08349609375,2730.783203125,2749.636474609375,2760.133056640625,2709.0749770507814,2702.1484116210936,2690.936767578125,2731.4982651367186,2738.4248305664064,2749.636474609375,0.0,0.0,50.70404267811358,0,23.16708045150108,19.480968922259816,1,0.0,3.0097554531848174,2
2018-03-22,2691.360107421875,2695.679931640625,2641.590087890625,2643.68994140625,3739800000,0,0,-68.239990234375,-0.025812403022601172,-2.81982421875,-0.0010666244080234535,2690.853271484375,2707.49794921875,2736.9199951171877,2731.685335286458,2731.8980102539062,,,2681.035807520491,2698.1796950789353,2716.2610906195255,2722.018879256387,2720.1871850356715,,,2660.3199869791665,2624.960042317708,2606.2301432291665,2570.870198567708,2679.049886067708,2714.4098307291665,2733.139729817708,2639.6576666666665,2626.8924635416665,2606.2301432291665,2680.9823072916665,2693.7475104166665,2714.4098307291665,0.0,0.0,39.248328665087115,0,18.05536933995315,20.586054330440437,1,0.0,3.0097554531848174,2
2018-03-23,2646.7099609375,2657.669921875,2585.889892578125,2588.260009765625,3815080000,0,0,-55.429931640625,-0.021415905446703694,-6.380126953125,-0.00246502551098131,2647.9599609375,2674.74794921875,2717.0889892578125,2724.8193359375,2723.946008300781,,,2634.647908643058,2661.5397999744987,2692.988166827907,2705.299020570042,2707.62269215281,,,2610.6066080729165,2563.543294270833,2538.8265787760415,2491.763264973958,2635.323323567708,2682.3866373697915,2707.103352864583,2583.1866368815104,2566.2465499674477,2538.8265787760415,2638.0265792643227,2654.9666661783854,2682.3866373697915,0.0,0.0,32.77145569875904,0,9.53541266421732,16.919287485223876,2,0.0,0.0,2
2018-03-26,2619.35009765625,2661.360107421875,2601.81005859375,2658.550048828125,3511100000,0,0,70.2900390625,0.026439238596799593,-44.10009765625,-0.01658802612186635,2630.1666666666665,2663.873974609375,2704.6419921875,2720.660009765625,2717.893505859375,,,2646.5989787355916,2660.543216259041,2686.7266908279466,2699.4553991023026,2702.949107074269,,,2640.5734049479165,2619.786702473958,2581.0233561197915,2560.236653645833,2679.336751302083,2700.1234537760415,2738.886800130208,2617.825286295573,2603.771474772135,2581.0233561197915,2663.32152360026,2677.375335123698,2700.1234537760415,0.0,0.0,45.135713974506594,0,16.89440336168572,14.82839512195209,2,65.2054730877652,21.735157695921732,0
